nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;13.03;""SULAWESI BARAT"""
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;26.71;MALUKU
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;19.33;""MALUKU UTARA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;16.46;""PAPUA BARAT"""
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;12.81;PAPUA
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;14.82;INDONESIA
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;99.36;ACEH
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.6;""SUMATERA UTARA"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.34;""SUMATERA BARAT"""
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.13;RIAU
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.7;JAMBI
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.11;""SUMATERA SELATAN"""
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.97;BENGKULU
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.64;LAMPUNG
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;97.72;""KEP. BANGKA BELITUNG"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.44;""KEP. RIAU"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;99.04;""DKI JAKARTA"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.36;""JAWA BARAT"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.87;""JAWA TENGAH"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;99.77;""DI YOGYAKARTA"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.65;""JAWA TIMUR"""
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.26;BANTEN
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;99.18;BALI
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.18;""NUSA TENGGARA BARAT"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;96.15;""NUSA TENGGARA TIMUR"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;96.66;""KALIMANTAN BARAT"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.62;""KALIMANTAN TENGAH"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;97.85;""KALIMANTAN SELATAN"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;99.12;""KALIMANTAN TIMUR"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;-;""KALIMANTAN UTARA"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.16;""SULAWESI UTARA"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;96.87;""SULAWESI TENGAH"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;97.62;""SULAWESI SELATAN"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;97.57;""SULAWESI TENGGARA"""
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;97.74;GORONTALO
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;96.19;""SULAWESI BARAT"""
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.27;MALUKU
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.31;""MALUKU UTARA"""
"Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;95.59;""PAPUA BARAT"""
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;75.45;PAPUA
Angka Partisipasi Sekolah ( A P S );7-12;2012;Tahun;98.02;INDONESIA
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;94.34;ACEH
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;90.83;""SUMATERA UTARA"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;90.5;""SUMATERA BARAT"""
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;88.01;RIAU
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;91.11;JAMBI
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;88.75;""SUMATERA SELATAN"""
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;93.22;BENGKULU
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;90;LAMPUNG
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;84.09;""KEP. BANGKA BELITUNG"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;94.93;""KEP. RIAU"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;94.07;""DKI JAKARTA"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;88.68;""JAWA BARAT"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;89.59;""JAWA TENGAH"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;98.35;""DI YOGYAKARTA"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;91.62;""JAWA TIMUR"""
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;91.1;BANTEN
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;95.04;BALI
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;91.25;""NUSA TENGGARA BARAT"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;88.62;""NUSA TENGGARA TIMUR"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;85.52;""KALIMANTAN BARAT"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;85.68;""KALIMANTAN TENGAH"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;85.62;""KALIMANTAN SELATAN"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;96.32;""KALIMANTAN TIMUR"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;-;""KALIMANTAN UTARA"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;88.34;""SULAWESI UTARA"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;85.81;""SULAWESI TENGAH"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;87.85;""SULAWESI SELATAN"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;88.25;""SULAWESI TENGGARA"""
